year_week_num,category,store, sales,volume
202111,SPIRITS,Store 4," € 24,781.03 ",1638
202234,BEER&CIDER,Store 2," € 21,656.01 ",2427
201739,BEER&CIDER,Store 10," € 13,619.58 ",6058
201836,BEER&CIDER,Store 12," € 2,114.84 ",563
202239,WINES,Store 9," € 17,346.77 ",1829
201852,SPIRITS,Store 13," € 1,126.32 ",87
202207,WINES,Store 5," € 13,438.79 ",1525
202204,WINES,Store 1," € 33,563.57 ",3744
202021,SPIRITS,Store 9," € 12,830.48 ",1049
202043,BEER&CIDER,Store 8," € 24,995.71 ",5217
202117,WINES,Store 10," € 14,206.57 ",1612
202234,BEER&CIDER,Store 11," € 3,563.39 ",451
201816,BEER&CIDER,Store 12," € 1,763.75 ",381
202130,SPIRITS,Store 4," € 18,276.18 ",1153
202234,WINES,Store 2," € 29,824.34 ",3311
201750,SPIRITS,Store 10," € 7,641.23 ",511
202117,SPIRITS,Store 10," € 13,072.80 ",919
201743,WINES,Store 9," € 41,302.73 ",5087
202003,BEER&CIDER,Store 3," € 36,788.87 ",11778
201937,SPIRITS,Store 2," € 20,529.95 ",1291
201708,SPIRITS,Store 1," € 12,291.67 ",858
201941,BEER&CIDER,Store 13," € 2,520.27 ",1127
202002,BEER&CIDER,Store 13," € 4,152.46 ",1413
202123,SPIRITS,Store 8," € 11,525.97 ",797
202123,WINES,Store 8," € 10,192.87 ",1283
202024,BEER&CIDER,Store 12," € 4,463.25 ",1213
201733,SPIRITS,Store 9," € 7,645.04 ",511
201712,BEER&CIDER,Store 9," € 9,533.07 ",3224
